595: min fit = 0.00236989, time = 0
596: min fit = 0.00236989, time = 0
597: min fit = 0.00236989, time = 0
598: min fit = 0.00236989, time = 0
599: min fit = 0.000446005, time = 0
600: min fit = 0.000446005, time = 0
601: min fit = 0.000446005, time = 0
602: min fit = 0.000446005, time = 1
603: min fit = 0.000446005, time = 0
604: min fit = 0.00236989, time = 0
605: min fit = 0.00236989, time = 0
606: min fit = 0.00236989, time = 0
607: min fit = 0.00236989, time = 0
608: min fit = 0.00236989, time = 0
609: min fit = 0.00236989, time = 0
610: min fit = 0.00236989, time = 0
611: min fit = 0.00236989, time = 0
612: min fit = 0.00236989, time = 0
613: min fit = 0.00236989, time = 0
614: min fit = 0.00236989, time = 0
615: min fit = 0.00236989, time = 0
616: min fit = 0.00236989, time = 0
617: min fit = 0.00236989, time = 0
618: min fit = 0.00122194, time = 0
619: min fit = 0.00122194, time = 1
620: min fit = 0.00122194, time = 0
621: min fit = 0.00122194, time = 0
622: min fit = 0.00122194, time = 0
623: min fit = 0.00122194, time = 0
624: min fit = 0.00122194, time = 0
625: min fit = 0.00122194, time = 0
626: min fit = 0.00122194, time = 0
627: min fit = 0.00122194, time = 0
628: min fit = 0.00122194, time = 1
629: min fit = 0.00122194, time = 0
630: min fit = 0.00122194, time = 0
631: min fit = 0.00122194, time = 0
632: min fit = 0.00122194, time = 0
633: min fit = 0.00122194, time = 0
634: min fit = 0.00122194, time = 0
635: min fit = 0.00122194, time = 0
636: min fit = 0.00122194, time = 1
637: min fit = 0.00122194, time = 0
638: min fit = 0.00122194, time = 0
639: min fit = 0.00122194, time = 0
640: min fit = 0.00122194, time = 0
641: min fit = 0.00122194, time = 0
642: min fit = 0.00122194, time = 0
643: min fit = 0.00122194, time = 0
644: min fit = 0.00122194, time = 0
645: min fit = 0.00122194, time = 0
646: min fit = 0.00122194, time = 0
647: min fit = 0.00122194, time = 0
648: min fit = 0.00122194, time = 1
649: min fit = 0.00122194, time = 0
650: min fit = 0.00122194, time = 0
651: min fit = 0.00122194, time = 0
652: min fit = 0.00122194, time = 0
653: min fit = 0.00122194, time = 0
654: min fit = 0.00122194, time = 0
655: min fit = 0.00122194, time = 0
656: min fit = 0.00122194, time = 0
657: min fit = 0.00122194, time = 1
658: min fit = 0.00122194, time = 0
659: min fit = 0.00122194, time = 0
660: min fit = 0.00122194, time = 0
661: min fit = 0.000959411, time = 0
662: min fit = 0.000959411, time = 0
663: min fit = 0.000959411, time = 0
664: min fit = 0.000959411, time = 0
665: min fit = 0.000959411, time = 0
666: min fit = 0.000959411, time = 0
667: min fit = 0.00122194, time = 1
668: min fit = 0.00115232, time = 0
669: min fit = 0.00115232, time = 0
670: min fit = 0.00115232, time = 0
671: min fit = 0.00115232, time = 0
672: min fit = 0.00115232, time = 0
673: min fit = 0.00122194, time = 0
674: min fit = 0.00122194, time = 0
675: min fit = 0.00122194, time = 0
676: min fit = 0.00122194, time = 0
677: min fit = 0.00122194, time = 0
678: min fit = 0.00122194, time = 0
679: min fit = 0.00122194, time = 0
680: min fit = 0.00122194, time = 1
681: min fit = 0.00122194, time = 0
682: min fit = 0.00122194, time = 0
683: min fit = 0.00122194, time = 0
684: min fit = 0.00122194, time = 0
685: min fit = 0.00122194, time = 0
686: min fit = 0.00122194, time = 0
687: min fit = 0.00122194, time = 1
688: min fit = 0.00122194, time = 0
689: min fit = 0.00122194, time = 0
690: min fit = 0.00122194, time = 0
691: min fit = 0.00122194, time = 0
692: min fit = 0.00122194, time = 0
693: min fit = 0.000682101, time = 0
694: min fit = 0.00122194, time = 0
695: min fit = 0.00122194, time = 0
696: min fit = 0.00122194, time = 0
697: min fit = 0.00122194, time = 0
698: min fit = 0.00122194, time = 0
699: min fit = 0.00122194, time = 1
700: min fit = 0.00122194, time = 0
701: min fit = 0.00122194, time = 0
702: min fit = 0.00122194, time = 0
703: min fit = 0.00122194, time = 0
704: min fit = 0.00122194, time = 0
705: min fit = 0.00122194, time = 0
706: min fit = 0.00122194, time = 0
707: min fit = 0.00122194, time = 0
708: min fit = 0.00122194, time = 0
